[49, 50]
[57, 58]
[64, 65]
[71, 72]
[100, 72]
[8, 9]
[61, 11]
[12, 54]
[94, 17]
[39, 17]
[113, 114]
[50, 41]
[73, 18]
[2, 41]
[94, 21]
[66, 98]
[14, 15]
[80, 81]
[98, 99]
[18, 19]
[82, 18]
[16, 36]
[12, 13]
[53, 54]
[26, 17]
[55, 56]
[12, 17]
[89, 90]
[102, 41]
[50, 112]
[96, 41]
[62, 63]
[96, 97]
[4, 43]
[12, 48]
[53, 21]
[77, 74]
[30, 17]
[69, 70]
[98, 85]
[44, 45]
[28, 29]
[66, 64]
[10, 11]
[4, 5]
[71, 54]
[64, 19]
[77, 78]
[51, 52]
[62, 74]
[53, 17]
[109, 110]
[12, 27]
[6, 7]
[33, 34]
[12, 108]
[40, 41]
[44, 66]
[12, 104]
[24, 25]
[16, 93]
[0, 1]
[71, 27]
[16, 21]
[77, 43]
[24, 103]
[75, 76]
[16, 17]
