[78, 149]:2
[0, 356]:2
[235, 213]:1
[430, 85]:2
[36, 135]:1
[112, 179]:1
[424, 335]:1
[174, 85]:2
[296, 144]:1
[249, 383]:1
[270, 171]:4
[174, 384]:2
[14, 49]:1
[34, 200]:1
[121, 314]:2
[10, 118]:2
[324, 325]:1
[0, 211]:2
[421, 422]:1
[378, 120]:2
[301, 120]:2
[171, 175]:1
[58, 87]:3
[154, 120]:1
[226, 358]:1
[174, 304]:1
[146, 388]:1
[414, 415]:1
[235, 356]:2
[76, 77]:1
[349, 319]:7
[448, 170]:3
[99, 100]:1
[32, 416]:1
[448, 379]:3
[58, 86]:2
[235, 211]:2
[16, 310]:1
[64, 75]:2
[238, 340]:2
[336, 17]:1
[105, 17]:3
[99, 24]:2
[157, 17]:2
[157, 392]:1
[434, 360]:1
[269, 204]:1
[258, 134]:1
[147, 148]:1
[32, 307]:1
[139, 171]:3
[60, 194]:2
[324, 150]:1
[6, 207]:1
[205, 223]:3
[205, 259]:2
[110, 52]:2
[205, 194]:4
[27, 278]:2
[103, 250]:1
[133, 165]:2
[127, 75]:1
[99, 23]:1
[418, 419]:1
[429, 251]:1
[349, 144]:8
[55, 222]:1
[92, 93]:1
[140, 171]:2
[139, 40]:4
[329, 22]:1
[261, 234]:2
[336, 392]:2
[441, 278]:1
[61, 178]:2
[31, 32]:1
[68, 98]:1
[151, 54]:1
[105, 277]:2
[429, 85]:2
[57, 120]:1
[174, 337]:2
[270, 40]:5
[428, 164]:4
[327, 234]:2
[362, 11]:1
[112, 312]:1
[80, 232]:1
[18, 271]:4
[14, 337]:1
[212, 213]:1
[0, 135]:3
[166, 179]:2
[349, 316]:2
[345, 346]:1
[381, 85]:1
[442, 443]:1
[34, 405]:2
[72, 211]:2
[166, 75]:2
[142, 118]:1
[161, 115]:1
[105, 276]:1
[20, 177]:1
[178, 118]:2
[327, 233]:1
[338, 339]:1
[12, 373]:1
[435, 436]:1
[121, 32]:1
[16, 17]:1
[58, 104]:1
[349, 207]:4
[68, 17]:3
[121, 237]:1
[158, 403]:1
[229, 230]:1
[34, 87]:4
[140, 7]:3
[29, 30]:1
[86, 87]:1
[25, 341]:2
[69, 318]:1
[57, 371]:2
[60, 39]:1
[430, 170]:2
[221, 109]:3
[430, 379]:2
[253, 103]:1
[174, 198]:1
[34, 86]:3
[65, 75]:1
[140, 6]:2
[205, 40]:4
[166, 177]:3
[298, 137]:1
[23, 24]:1
[311, 134]:1
[237, 314]:1
[235, 17]:3
[398, 399]:1
[355, 87]:1
[446, 447]:1
[262, 245]:2
[221, 108]:3
[41, 164]:2
[55, 17]:2
[48, 299]:2
[60, 319]:5
[149, 150]:1
[105, 382]:2
[166, 176]:2
[258, 165]:2
[349, 140]:1
[205, 319]:7
[243, 262]:2
[345, 379]:1
[143, 144]:1
[105, 91]:1
[157, 91]:1
[341, 120]:1
[276, 277]:1
[51, 190]:1
[78, 79]:1
[222, 17]:1
[136, 137]:1
[233, 234]:1
[299, 164]:1
[243, 326]:1
[132, 11]:1
[349, 60]:2
[349, 175]:4
[72, 308]:2
[432, 85]:1
[18, 223]:3
[18, 259]:2
[105, 90]:2
[72, 416]:3
[18, 194]:4
[60, 144]:6
[242, 59]:1
[31, 416]:2
[428, 32]:2
[158, 298]:1
[39, 40]:1
[205, 144]:8
[57, 107]:1
[146, 199]:1
[72, 307]:3
[231, 9]:1
[69, 17]:2
[48, 325]:2
[31, 307]:2
[212, 352]:1
[196, 197]:1
[25, 120]:2
[51, 289]:1
[448, 59]:2
[201, 202]:1
[94, 95]:1
[270, 262]:6
[102, 250]:2
[243, 151]:3
[194, 262]:1
[286, 287]:1
[4, 5]:1
[205, 316]:2
[280, 101]:1
[378, 211]:1
[48, 324]:1
[266, 247]:1
[154, 211]:1
[221, 292]:2
[60, 207]:2
[334, 118]:1
[221, 104]:3
[31, 97]:2
[260, 234]:3
[335, 392]:3
[270, 326]:5
[300, 341]:3
[211, 120]:1
[183, 220]:1
[208, 199]:1
[205, 207]:4
[270, 7]:2
[65, 234]:2
[131, 150]:2
[265, 84]:1
[276, 382]:1
[282, 316]:1
[25, 371]:1
[48, 150]:2
[448, 109]:2
[311, 165]:2
[34, 109]:2
[255, 313]:1
[18, 19]:1
[61, 170]:1
[139, 7]:4
[359, 321]:1
[68, 254]:2
[108, 109]:1
[88, 89]:1
[57, 357]:2
[63, 118]:2
[205, 206]:1
[270, 6]:4
[121, 97]:2
[260, 75]:2
[139, 262]:5
[349, 171]:3
[29, 340]:1
[448, 433]:3
[448, 108]:1
[68, 145]:2
[34, 108]:2
[68, 318]:2
[270, 151]:7
[139, 6]:3
[448, 21
