"junit.textui.ResultPrinter:printErrors","junit.textui.ResultPrinter:printDefects"
"org.junit.runner.Description:isTest","org.junit.runner.Description:getChildren"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.runners.model.Statement:evaluate"
"org.junit.internal.TextListener:testRunFinished","org.junit.internal.TextListener:printFooter"
"org.junit.runners.ParentRunner:collectInitializationErrors","org.junit.runners.ParentRunner:validatePublicVoidNoArgMethods"
"org.junit.internal.TextListener:printFailure","org.junit.runner.notification.Failure:getTrace"
"org.junit.internal.requests.SortingRequest:getRunner","org.junit.runner.Request:getRunner"
"org.junit.internal.runners.JUnit4ClassRunner:createTest","org.junit.internal.runners.TestClass:getConstructor"
"junit.extensions.ActiveTestSuite:waitUntilFinished","junit.extensions.ActiveTestSuite:testCount"
"org.junit.runner.JUnitCore:runMain","org.junit.runner.JUnitCore:run"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.internal.runners.model.EachTestNotifier:fireTestStarted"
"org.junit.runners.BlockJUnit4ClassRunner:computeTestMethods","org.junit.runners.model.TestClass:getAnnotatedMethods"
"org.junit.experimental.theories.internal.AllMembersSupplier:addMultiPointMethods","org.junit.runners.model.TestClass:getAnnotatedMethods"
"org.junit.runners.ParentRunner:sortChild","org.junit.runner.manipulation.Sorter:apply"
"junit.framework.JUnit4TestAdapterCache:asTest","org.junit.runner.Description:isSuite"
"org.junit.runner.Description:hashCode","org.junit.runner.Description:getDisplayName"
"org.junit.runners.model.RunnerBuilder:safeRunnerForClass","org.junit.runners.model.RunnerBuilder:runnerForClass"
"org.junit.runners.Suite:describeChild","org.junit.runner.Runner:getDescription"
"junit.textui.TestRunner:start","junit.textui.TestRunner:doRun"
"org.junit.internal.TextListener:printFailures","org.junit.runner.Result:getFailures"
"org.junit.internal.builders.AllDefaultPossibilitiesBuilder:runnerForClass","org.junit.internal.builders.AllDefaultPossibilitiesBuilder:junit4Builder"
"org.junit.internal.runners.JUnit4ClassRunner:methodDescription","org.junit.internal.runners.TestClass:getJavaClass"
"junit.framework.JUnit4TestAdapterCache:asTest","junit.framework.JUnit4TestAdapterCache:get"
"org.junit.experimental.theories.internal.AllMembersSupplier:addMultiPointMethods","org.junit.runners.model.FrameworkMethod:getName"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.runners.BlockJUnit4ClassRunner:methodBlock"
"org.junit.internal.runners.JUnit38ClassRunner:run","junit.framework.TestResult:addListener"
"junit.framework.JUnit4TestAdapter:getDescription","org.junit.runner.Runner:getDescription"
"org.junit.internal.runners.JUnit4ClassRunner:getDescription","org.junit.internal.runners.JUnit4ClassRunner:classAnnotations"
"junit.framework.ComparisonFailure:getMessage","junit.framework.ComparisonCompactor:compact"
"junit.textui.TestRunner:runAndWait","junit.textui.TestRunner:doRun"
"org.junit.internal.runners.JUnit4ClassRunner:validate","org.junit.internal.runners.MethodValidator:assertValid"
"junit.framework.JUnit4TestAdapter:run","org.junit.runner.Runner:run"
"org.junit.internal.TextListener:printFailures","org.junit.internal.TextListener:printFailure"
"junit.framework.JUnit4TestAdapterCache:asTest","junit.framework.JUnit4TestAdapterCache:createTest"
"org.junit.runners.BlockJUnit4ClassRunner:describeChild","org.junit.runners.BlockJUnit4ClassRunner:testName"
"junit.framework.JUnit4TestAdapter:getTests","junit.framework.JUnit4TestAdapter:getDescription"
"junit.textui.TestRunner:main","junit.textui.TestRunner:start"
"org.junit.internal.runners.JUnit4ClassRunner:invokeTestMethod","org.junit.internal.runners.JUnit4ClassRunner:wrapMethod"
"org.junit.internal.runners.MethodRoadie:run","org.junit.runner.notification.RunNotifier:fireTestIgnored"
"org.junit.runner.notification.Failure:getTestHeader","org.junit.runner.Description:getDisplayName"
"org.junit.internal.runners.TestMethod:isUnexpected","org.junit.internal.runners.TestMethod:getExpectedException"
"org.junit.experimental.theories.internal.AllMembersSupplier:addFields","org.junit.experimental.theories.ParameterSignature:canAcceptType"
"org.junit.runners.BlockJUnit4ClassRunner:createTest","org.junit.runners.model.TestClass:getOnlyConstructor"
"org.junit.runner.JUnitCore:runMainAndExit","org.junit.runner.Result:wasSuccessful"
"org.junit.internal.runners.JUnit4ClassRunner:getTestMethods","org.junit.internal.runners.TestClass:getTestMethods"
"org.junit.runner.Runner:testCount","org.junit.runner.Description:testCount"
"org.junit.runners.BlockJUnit4ClassRunner:methodBlock","org.junit.runners.BlockJUnit4ClassRunner:methodInvoker"
"org.junit.internal.runners.JUnit4ClassRunner:run","org.junit.internal.runners.ClassRoadie:runProtected"
"org.junit.internal.runners.ClassRoadie:runAfters","org.junit.internal.runners.ClassRoadie:addFailure"
"org.junit.internal.runners.JUnit4ClassRunner:invokeTestMethod","org.junit.internal.runners.JUnit4ClassRunner:methodDescription"
"junit.framework.JUnit4TestAdapterCache:createTest","org.junit.runner.Description:isTest"
"junit.framework.TestResult:runProtected","junit.framework.TestResult:addFailure"
"org.junit.runner.Runner:testCount","org.junit.runner.Runner:getDescription"
"org.junit.runners.BlockJUnit4ClassRunner:describeChild","org.junit.runners.model.TestClass:getJavaClass"
"org.junit.experimental.theories.internal.Assignments:getAnnotatedSupplier","org.junit.experimental.theories.ParameterSignature:findDeepAnnotation"
"org.junit.internal.matchers.SubstringMatcher:describeTo","org.junit.internal.matchers.SubstringMatcher:relationship"
"org.junit.experimental.theories.Theories:validateDataPointFields","org.junit.experimental.theories.Theories:getTestClass"
"org.junit.internal.runners.TestClass:getAfters","org.junit.internal.runners.TestClass:getAnnotatedMethods"
"org.junit.runner.notification.Failure:getTrace","org.junit.runner.notification.Failure:getException"
"org.junit.internal.runners.model.EachTestNotifier:fireTestFinished","org.junit.runner.notification.RunNotifier:fireTestFinished"
"junit.framework.TestFailure:trace","junit.framework.TestFailure:thrownException"
"junit.textui.ResultPrinter:printDefects","junit.textui.ResultPrinter:printDefect"
"org.junit.internal.TextListener:printHeader","org.junit.internal.TextListener:elapsedTimeAsString"
"org.junit.internal.runners.MethodRoadie:runWithTimeout","org.junit.internal.runners.MethodRoadie:runBeforesThenTestThenAfters"
"junit.framework.JUnit4TestAdapter:isIgnored","org.junit.runner.Description:getAnnotation"
"junit.framework.TestResult:run","junit.framework.TestResult:startTest"
"junit.framework.TestResult:wasSuccessful","junit.framework.TestResult:failureCount"
"org.junit.runners.ParentRunner:getFilteredChildren","org.junit.runners.ParentRunner:getChildren"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.internal.runners.model.EachTestNotifier:addFailure"
"org.junit.experimental.theories.ParameterSignature:canAcceptArrayType","org.junit.experimental.theories.ParameterSignature:canAcceptType"
"org.junit.experimental.theories.ParameterSignature:hasAnnotation","org.junit.experimental.theories.ParameterSignature:getAnnotation"
"org.junit.runners.ParentRunner:run","org.junit.runners.ParentRunner:getDescription"
"org.junit.experimental.theories.Theories:validateTestMethods","org.junit.runners.model.FrameworkMethod:validatePublicVoid"
"org.junit.internal.runners.MethodRoadie:run","org.junit.internal.runners.MethodRoadie:runTest"
"org.junit.internal.runners.MethodValidator:validateInstanceMethods","org.junit.internal.runners.TestClass:getAnnotatedMethods"
"junit.framework.TestSuite:createTest","junit.framework.TestCase:setName"
"org.junit.internal.runners.JUnit4ClassRunner:getName","org.junit.internal.runners.JUnit4ClassRunner:getTestClass"
"junit.runner.BaseTestRunner:addFailure","junit.runner.BaseTestRunner:testFailed"
"org.junit.internal.runners.ErrorReportingRunner:getCauses","org.junit.internal.runners.InitializationError:getCauses"
"org.junit.internal.runners.JUnit4ClassRunner:getDescription","org.junit.internal.runners.JUnit4ClassRunner:methodDescription"
"junit.textui.ResultPrinter:printDefectHeader","junit.framework.TestFailure:failedTest"
"org.junit.runners.BlockJUnit4ClassRunner:validateConstructor","org.junit.runners.BlockJUnit4ClassRunner:validateZeroArgConstructor"
"org.junit.internal.runners.ClassRoadie:runProtected","org.junit.internal.runners.ClassRoadie:runUnprotected"
"org.junit.runners.ParentRunner:getDescription","org.junit.runners.model.TestClass:getAnnotations"
"org.junit.runners.ParentRunner:validatePublicVoidNoArgMethods","org.junit.runners.model.FrameworkMethod:validatePublicVoidNoArg"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:wasSuccessful"
"junit.textui.ResultPrinter:startTest","junit.textui.ResultPrinter:getWriter"
"org.junit.internal.runners.MethodRoadie:runBefores","org.junit.internal.runners.TestMethod:getBefores"
"org.junit.internal.runners.JUnit4ClassRunner:filter","org.junit.internal.runners.JUnit4ClassRunner:methodDescription"
"org.junit.internal.runners.MethodRoadie:run","org.junit.runner.notification.RunNotifier:fireTestStarted"
"org.junit.runners.ParentRunner:run","org.junit.runners.model.Statement:evaluate"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printFooter"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.internal.runners.model.EachTestNotifier:addFailedAssumption"
"org.junit.internal.runners.ErrorReportingRunner:runCause","org.junit.runner.notification.RunNotifier:fireTestFinished"
"org.junit.internal.runners.JUnit4ClassRunner:testAborted","org.junit.runner.notification.RunNotifier:fireTestStarted"
"junit.textui.TestRunner:doRun","junit.textui.TestRunner:createTestResult"
"org.junit.internal.runners.statements.ExpectException:evaluate","org.junit.runners.model.Statement:evaluate"
"junit.textui.TestRunner:runSingleMethod","junit.textui.TestRunner:loadSuiteClass"
"org.junit.internal.runners.MethodRoadie:addFailure","org.junit.runner.notification.RunNotifier:fireTestFailure"
"org.junit.runners.BlockJUnit4ClassRunner:hasOneConstructor","org.junit.runners.BlockJUnit4ClassRunner:getTestClass"
