"junit.textui.ResultPrinter:printErrors","junit.textui.ResultPrinter:printDefects"
"org.junit.runner.Description:isTest","org.junit.runner.Description:getChildren"
"org.junit.runners.ParentRunner:collectInitializationErrors","org.junit.runners.ParentRunner:validatePublicVoidNoArgMethods"
"org.junit.internal.TextListener:printFailure","org.junit.runner.notification.Failure:getTrace"
"org.junit.runner.JUnitCore:runMain","org.junit.runner.JUnitCore:run"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.internal.runners.model.EachTestNotifier:fireTestStarted"
"org.junit.experimental.theories.internal.AllMembersSupplier:addMultiPointMethods","org.junit.runners.model.TestClass:getAnnotatedMethods"
"org.junit.runners.model.RunnerBuilder:safeRunnerForClass","org.junit.runners.model.RunnerBuilder:runnerForClass"
"org.junit.experimental.theories.internal.AllMembersSupplier:addMultiPointMethods","org.junit.runners.model.FrameworkMethod:getName"
"junit.framework.ComparisonFailure:getMessage","junit.framework.ComparisonCompactor:compact"
"junit.textui.TestRunner:runAndWait","junit.textui.TestRunner:doRun"
"org.junit.experimental.max.MaxCore:run","org.junit.experimental.max.MaxHistory:listener"
"org.junit.internal.runners.JUnit4ClassRunner:invokeTestMethod","org.junit.internal.runners.JUnit4ClassRunner:wrapMethod"
"org.junit.internal.runners.MethodRoadie:run","org.junit.runner.notification.RunNotifier:fireTestIgnored"
"org.junit.runner.notification.Failure:getTestHeader","org.junit.runner.Description:getDisplayName"
"org.junit.runner.JUnitCore:runMainAndExit","org.junit.runner.Result:wasSuccessful"
"org.junit.experimental.max.MaxHistory:getFailureTimestamp","org.junit.runner.Description:toString"
"org.junit.runner.Runner:testCount","org.junit.runner.Description:testCount"
"org.junit.runners.BlockJUnit4ClassRunner:methodBlock","org.junit.runners.BlockJUnit4ClassRunner:methodInvoker"
"junit.framework.JUnit4TestAdapterCache:createTest","org.junit.runner.Description:isTest"
"org.junit.runners.BlockJUnit4ClassRunner:describeChild","org.junit.runners.model.TestClass:getJavaClass"
"org.junit.experimental.theories.internal.Assignments:getAnnotatedSupplier","org.junit.experimental.theories.ParameterSignature:findDeepAnnotation"
"org.junit.internal.matchers.SubstringMatcher:describeTo","org.junit.internal.matchers.SubstringMatcher:relationship"
"org.junit.experimental.theories.Theories:validateDataPointFields","org.junit.experimental.theories.Theories:getTestClass"
"org.junit.internal.runners.TestClass:getAfters","org.junit.internal.runners.TestClass:getAnnotatedMethods"
"junit.framework.TestFailure:trace","junit.framework.TestFailure:thrownException"
"junit.textui.ResultPrinter:printDefects","junit.textui.ResultPrinter:printDefect"
"org.junit.internal.TextListener:printHeader","org.junit.internal.TextListener:elapsedTimeAsString"
"junit.framework.JUnit4TestAdapter:isIgnored","org.junit.runner.Description:getAnnotation"
"junit.framework.TestResult:run","junit.framework.TestResult:startTest"
"junit.framework.TestResult:wasSuccessful","junit.framework.TestResult:failureCount"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.internal.runners.model.EachTestNotifier:addFailure"
"org.junit.experimental.theories.ParameterSignature:hasAnnotation","org.junit.experimental.theories.ParameterSignature:getAnnotation"
"org.junit.runners.ParentRunner:run","org.junit.runners.ParentRunner:getDescription"
"org.junit.experimental.theories.Theories:validateTestMethods","org.junit.runners.model.FrameworkMethod:validatePublicVoid"
"junit.framework.TestSuite:createTest","junit.framework.TestCase:setName"
"junit.runner.BaseTestRunner:addFailure","junit.runner.BaseTestRunner:testFailed"
"org.junit.internal.runners.ErrorReportingRunner:getCauses","org.junit.internal.runners.InitializationError:getCauses"
"org.junit.internal.runners.JUnit4ClassRunner:getDescription","org.junit.internal.runners.JUnit4ClassRunner:methodDescription"
"junit.textui.ResultPrinter:printDefectHeader","junit.framework.TestFailure:failedTest"
"org.junit.runners.ParentRunner:getDescription","org.junit.runners.model.TestClass:getAnnotations"
"org.junit.runners.ParentRunner:validatePublicVoidNoArgMethods","org.junit.runners.model.FrameworkMethod:validatePublicVoidNoArg"
"junit.textui.ResultPrinter:startTest","junit.textui.ResultPrinter:getWriter"
"org.junit.internal.runners.MethodRoadie:runBefores","org.junit.internal.runners.TestMethod:getBefores"
"org.junit.internal.runners.JUnit4ClassRunner:filter","org.junit.internal.runners.JUnit4ClassRunner:methodDescription"
"org.junit.runners.ParentRunner:run","org.junit.runners.model.Statement:evaluate"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printFooter"
"org.junit.internal.runners.JUnit4ClassRunner:testAborted","org.junit.runner.notification.RunNotifier:fireTestStarted"
"org.junit.internal.runners.statements.ExpectException:evaluate","org.junit.runners.model.Statement:evaluate"
"junit.textui.TestRunner:runSingleMethod","junit.textui.TestRunner:loadSuiteClass"
"org.junit.runners.BlockJUnit4ClassRunner:getChildren","org.junit.runners.BlockJUnit4ClassRunner:computeTestMethods"
"org.junit.runner.Description:testCount","org.junit.runner.Description:getChildren"
"org.junit.runners.ParentRunner:classBlock","org.junit.runners.ParentRunner:childrenInvoker"
"org.junit.runner.JUnitCore:run","org.junit.runner.notification.RunNotifier:addFirstListener"
"org.junit.runners.BlockJUnit4ClassRunner:runChild","org.junit.runners.model.FrameworkMethod:getAnnotation"
"org.junit.runners.model.RunnerBuilder:runners","org.junit.runners.model.RunnerBuilder:removeParent"
"org.junit.runners.BlockJUnit4ClassRunner:withPotentialTimeout","org.junit.runners.model.FrameworkMethod:getAnnotation"
"org.junit.experimental.theories.internal.AllMembersSupplier:addFields","org.junit.runners.model.TestClass:getJavaClass"
"org.junit.experimental.theories.internal.Assignments:potentialsForNextUnassigned","org.junit.experimental.theories.internal.Assignments:getSupplier"
"org.junit.runner.JUnitCore:run","org.junit.runner.Runner:run"
"org.junit.internal.runners.JUnit4ClassRunner:run","org.junit.internal.runners.JUnit4ClassRunner:getDescription"
"org.junit.runners.BlockJUnit4ClassRunner:makeNotifier","org.junit.runners.BlockJUnit4ClassRunner:describeChild"
"junit.textui.TestRunner:start","junit.textui.TestRunner:runSingleMethod"
"org.junit.internal.runners.MethodValidator:validateMethodsForDefaultRunner","org.junit.internal.runners.MethodValidator:validateInstanceMethods"
"org.junit.internal.runners.statements.InvokeMethod:evaluate","org.junit.runners.model.FrameworkMethod:invokeExplosively"
"org.junit.internal.runners.ClassRoadie:addFailure","org.junit.runner.notification.RunNotifier:fireTestFailure"
"org.junit.internal.builders.AnnotatedBuilder:runnerForClass","org.junit.internal.builders.AnnotatedBuilder:buildRunner"
"org.junit.internal.runners.JUnit38ClassRunner:filter","junit.framework.TestSuite:testCount"
"org.junit.internal.runners.MethodRoadie:runTest","org.junit.internal.runners.MethodRoadie:runBeforesThenTestThenAfters"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:loadSuiteClass"
"org.junit.internal.runners.MethodRoadie:runTestMethod","org.junit.internal.runners.MethodRoadie:addFailure"
"org.junit.runners.Parameterized:getParametersMethod","org.junit.runners.model.TestClass:getAnnotatedMethods"
"org.junit.internal.runners.JUnit4ClassRunner:getDescription","org.junit.internal.runners.JUnit4ClassRunner:getName"
"org.junit.internal.matchers.SubstringMatcher:matchesSafely","org.junit.internal.matchers.SubstringMatcher:evalSubstringOf"
"org.junit.experimental.results.PrintableResult:toString","org.junit.internal.TextListener:testRunFinished"
"org.junit.internal.requests.SortingRequest:getRunner","org.junit.runner.manipulation.Sorter:apply"
"org.junit.runners.ParentRunner:run","org.junit.internal.runners.model.EachTestNotifier:fireTestIgnored"
"org.junit.runner.notification.Failure:toString","org.junit.runner.notification.Failure:getTestHeader"
"org.junit.internal.builders.AllDefaultPossibilitiesBuilder:runnerForClass","org.junit.internal.builders.AllDefaultPossibilitiesBuilder:junit3Builder"
"org.junit.runners.BlockJUnit4ClassRunner:withBefores","org.junit.runners.BlockJUnit4ClassRunner:getTestClass"
"org.junit.experimental.theories.internal.AllMembersSupplier:addFields","org.junit.experimental.theories.ParameterSignature:canAcceptArrayType"
"org.junit.internal.runners.ErrorReportingRunner:runCause","org.junit.runner.notification.RunNotifier:fireTestFailure"
"org.junit.runners.BlockJUnit4ClassRunner:validateZeroArgConstructor","org.junit.runners.BlockJUnit4ClassRunner:getTestClass"
"org.junit.experimental.theories.ParameterSignature:getAnnotation","org.junit.experimental.theories.ParameterSignature:getAnnotations"
"org.junit.runners.BlockJUnit4ClassRunner:validateInstanceMethods","org.junit.runners.BlockJUnit4ClassRunner:validatePublicVoidNoArgMethods"
"org.junit.experimental.theories.Theories:validateDataPointFields","org.junit.runners.model.TestClass:getJavaClass"
"org.junit.internal.runners.TestClass:getBefores","org.junit.internal.runners.TestClass:getAnnotatedMethods"
"org.junit.runner.Description:addChild","org.junit.runner.Description:getChildren"
"junit.framework.JUnit4TestAdapter:removeIgnored","org.junit.runner.Description:childlessCopy"
"junit.framework.TestResult:run","junit.framework.TestResult:runProtected"
"org.junit.experimental.results.FailureList:result","org.junit.runner.notification.RunListener:testFailure"
"org.junit.experimental.theories.suppliers.TestedOnSupplier:getValueSources","org.junit.experimental.theories.ParameterSignature:getAnnotation"
"junit.textui.ResultPrinter:printHeader","junit.textui.ResultPrinter:getWriter"
"org.junit.runners.ParentRunner:shouldRun","org.junit.runners.ParentRunner:describeChild"
"org.junit.experimental.theories.internal.Assignments:getConstructorParameterCount","org.junit.runners.model.TestClass:getOnlyConstructor"
"org.junit.internal.runners.MethodRoadie:runTestMethod","org.junit.internal.runners.TestMethod:getExpectedException"
"org.junit.runners.ParentRunner:validatePublicVoidNoArgMethods","org.junit.runners.ParentRunner:getTestClass"
"org.junit.internal.runners.JUnit4ClassRunner:methodDescription","org.junit.internal.runners.JUnit4ClassRunner:getTestClass"
