"junit.textui.ResultPrinter:printErrors","junit.textui.ResultPrinter:printDefects"
"org.junit.runner.Description:isTest","org.junit.runner.Description:getChildren"
"org.junit.internal.requests.SortingRequest:getRunner","org.junit.runner.Request:getRunner"
"junit.extensions.ActiveTestSuite:waitUntilFinished","junit.extensions.ActiveTestSuite:testCount"
"org.junit.runner.JUnitCore:runMain","org.junit.runner.JUnitCore:run"
"junit.framework.JUnit4TestAdapterCache:asTest","org.junit.runner.Description:isSuite"
"org.junit.internal.runners.TestClassMethodsRunner:run","org.junit.internal.runners.TestClassMethodsRunner:invokeTestMethod"
"org.junit.runner.Description:hashCode","org.junit.runner.Description:getDisplayName"
"junit.textui.TestRunner:start","junit.textui.TestRunner:doRun"
"org.junit.internal.runners.ErrorReportingRunner:run","org.junit.runner.notification.RunNotifier:fireTestStarted"
"junit.framework.JUnit4TestAdapterCache:asTest","junit.framework.JUnit4TestAdapterCache:get"
"org.junit.internal.runners.TextListener:testRunFinished","org.junit.internal.runners.TextListener:printFailures"
"junit.framework.JUnit4TestAdapter:getDescription","org.junit.runner.Runner:getDescription"
"junit.framework.ComparisonFailure:getMessage","junit.framework.ComparisonCompactor:compact"
"org.junit.internal.runners.BeforeAndAfterRunner:runAfters","org.junit.internal.runners.BeforeAndAfterRunner:addFailure"
"junit.textui.TestRunner:runAndWait","junit.textui.TestRunner:doRun"
"junit.framework.JUnit4TestAdapter:run","org.junit.runner.Runner:run"
"junit.framework.JUnit4TestAdapterCache:asTest","junit.framework.JUnit4TestAdapterCache:createTest"
"junit.framework.JUnit4TestAdapter:getTests","junit.framework.JUnit4TestAdapter:getDescription"
"junit.textui.TestRunner:main","junit.textui.TestRunner:start"
"org.junit.runner.notification.Failure:getTestHeader","org.junit.runner.Description:getDisplayName"
"org.junit.Assert:assertEquals","org.junit.internal.ArrayComparisonFailure:addDimension"
"org.junit.internal.runners.OldTestClassRunner:makeDescription","junit.framework.TestSuite:getName"
"org.junit.internal.runners.TestMethodRunner:run","org.junit.runner.notification.RunNotifier:fireTestStarted"
"org.junit.internal.runners.TestClassMethodsRunner:getDescription","org.junit.internal.runners.TestClassMethodsRunner:methodDescription"
"org.junit.runner.Runner:testCount","org.junit.runner.Description:testCount"
"org.junit.internal.runners.CompositeRunner:filter","org.junit.runner.Runner:getDescription"
"org.junit.internal.runners.TestMethodRunner:addFailure","org.junit.runner.notification.RunNotifier:fireTestFailure"
"org.junit.internal.runners.TestClassMethodsRunner:testAborted","org.junit.runner.notification.RunNotifier:fireTestFinished"
"junit.framework.JUnit4TestAdapterCache:createTest","org.junit.runner.Description:isTest"
"junit.framework.TestResult:runProtected","junit.framework.TestResult:addFailure"
"org.junit.runner.Runner:testCount","org.junit.runner.Runner:getDescription"
"org.junit.internal.runners.TestClassMethodsRunner:getDescription","org.junit.runner.Description:addChild"
"org.junit.internal.runners.TextListener:testRunFinished","org.junit.runner.Result:getRunTime"
"org.junit.runner.notification.Failure:getTrace","org.junit.runner.notification.Failure:getException"
"junit.framework.TestFailure:trace","junit.framework.TestFailure:thrownException"
"junit.textui.ResultPrinter:printDefects","junit.textui.ResultPrinter:printDefect"
"org.junit.internal.runners.TestClassMethodsRunner:testAborted","org.junit.runner.notification.RunNotifier:fireTestFailure"
"junit.framework.TestResult:run","junit.framework.TestResult:startTest"
"junit.framework.TestResult:wasSuccessful","junit.framework.TestResult:failureCount"
"org.junit.internal.runners.OldTestClassRunner:makeDescription","org.junit.runner.Description:addChild"
"org.junit.internal.runners.TestMethodRunner:expectedException","org.junit.internal.runners.TestIntrospector:expectedException"
"org.junit.runners.Parameterized:validate","org.junit.internal.runners.MethodValidator:validateStaticMethods"
"junit.framework.TestSuite:createTest","junit.framework.TestCase:setName"
"junit.runner.BaseTestRunner:addFailure","junit.runner.BaseTestRunner:testFailed"
"junit.textui.ResultPrinter:printDefectHeader","junit.framework.TestFailure:failedTest"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:wasSuccessful"
"junit.textui.ResultPrinter:startTest","junit.textui.ResultPrinter:getWriter"
"org.junit.internal.runners.BeforeAndAfterRunner:runProtected","org.junit.internal.runners.BeforeAndAfterRunner:runUnprotected"
"org.junit.internal.runners.TextListener:printFailure","org.junit.internal.runners.TextListener:printFailureTrace"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printFooter"
"org.junit.internal.runners.TestClassMethodsRunner:testAborted","org.junit.runner.notification.RunNotifier:fireTestStarted"
"junit.textui.TestRunner:doRun","junit.textui.TestRunner:createTestResult"
"org.junit.internal.runners.TestClassMethodsRunner:filter","org.junit.runner.manipulation.Filter:shouldRun"
"org.junit.internal.runners.MethodValidator:validateAllMethods","org.junit.internal.runners.MethodValidator:validateInstanceMethods"
"junit.textui.TestRunner:runSingleMethod","junit.textui.TestRunner:loadSuiteClass"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:runCount"
"org.junit.internal.runners.TestClassRunner:run","org.junit.internal.runners.TestClassRunner:getTestClass"
"org.junit.runner.Description:testCount","org.junit.runner.Description:getChildren"
"org.junit.internal.runners.MethodValidator:validateAllMethods","org.junit.internal.runners.MethodValidator:validateStaticMethods"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:failureCount"
"org.junit.internal.runners.TextListener:printFailureTrace","org.junit.runner.notification.Failure:getTrace"
"junit.textui.TestRunner:doRun","junit.textui.TestRunner:pause"
"junit.framework.JUnit4TestCaseFacade:toString","org.junit.runner.Description:toString"
"org.junit.runner.JUnitCore:run","org.junit.runner.Runner:run"
"org.junit.runner.JUnitCore:addFirstListener","org.junit.runner.notification.RunNotifier:addFirstListener"
"junit.textui.ResultPrinter:printDefectTrace","junit.textui.ResultPrinter:getWriter"
"junit.textui.TestRunner:start","junit.textui.TestRunner:runSingleMethod"
"org.junit.internal.requests.ErrorReportingRequest:getCauses","org.junit.internal.runners.InitializationError:getCauses"
"junit.framework.JUnit4TestAdapterCache:getNotifier","org.junit.runner.notification.RunNotifier:addListener"
"org.junit.internal.runners.ErrorReportingRunner:run","org.junit.runner.notification.RunNotifier:fireTestFinished"
"org.junit.internal.runners.TestClassRunner:sort","org.junit.runner.manipulation.Sorter:apply"
"org.junit.internal.runners.TextListener:printFooter","org.junit.runner.Result:getRunCount"
"junit.framework.JUnit4TestAdapterCache:asTestList","org.junit.runner.Description:getChildren"
"org.junit.internal.runners.TestMethodRunner:run","org.junit.internal.runners.TestIntrospector:getTimeout"
"org.junit.internal.runners.TextListener:testRunFinished","org.junit.internal.runners.TextListener:printFooter"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:loadSuiteClass"
"org.junit.internal.runners.TestClassMethodsRunner:run","org.junit.internal.runners.TestClassMethodsRunner:getDescription"
"org.junit.internal.runners.TestClassMethodsRunner:invokeTestMethod","org.junit.internal.runners.TestMethodRunner:run"
"junit.textui.ResultPrinter:printDefectHeader","junit.textui.ResultPrinter:getWriter"
"org.junit.internal.runners.TestClassRunner:validate","org.junit.internal.runners.MethodValidator:validateAllMethods"
"org.junit.internal.runners.OldTestClassRunner:makeDescription","junit.framework.JUnit4TestAdapter:getDescription"
"org.junit.internal.requests.SortingRequest:getRunner","org.junit.runner.manipulation.Sorter:apply"
"org.junit.runner.notification.Failure:toString","org.junit.runner.notification.Failure:getTestHeader"
"org.junit.internal.runners.TextListener:printFooter","org.junit.runner.Result:wasSuccessful"
"org.junit.internal.requests.ClassRequest:getRunnerClass","org.junit.internal.requests.ClassRequest:isPre4Test"
"junit.runner.BaseTestRunner:processArguments","junit.runner.BaseTestRunner:extractClassName"
"junit.framework.TestSuite:toString","junit.framework.TestSuite:getName"
"junit.textui.ResultPrinter:printDefectTrace","junit.framework.TestFailure:trace"
"org.junit.runner.Result:wasSuccessful","org.junit.runner.Result:getFailureCount"
"org.junit.internal.runners.TestClassMethodsRunner:invokeTestMethod","org.junit.internal.runners.TestClassMethodsRunner:createTest"
"org.junit.runner.Description:addChild","org.junit.runner.Description:getChildren"
"org.junit.internal.runners.TestClassRunner:getDescription","org.junit.runner.Runner:getDescription"
"junit.framework.JUnit4TestAdapterCache:asTestList","junit.framework.JUnit4TestAdapterCache:asTest"
"junit.framework.TestResult:run","junit.framework.TestResult:runProtected"
"org.junit.internal.runners.TestMethodRunner:runUnprotected","org.junit.internal.runners.TestMethodRunner:addFailure"
"junit.framework.JUnit4TestAdapterCache:createTest","junit.framework.JUnit4TestAdapterCache:asTest"
"junit.textui.ResultPrinter:printHeader","junit.textui.ResultPrinter:getWriter"
"org.junit.internal.requests.FilterRequest:getRunner","org.junit.runner.manipulation.Filter:apply"
"org.junit.internal.runners.TextListener:printFailures","org.junit.runner.Result:getFailures"
"junit.extensions.RepeatedTest:run","junit.framework.TestResult:shouldStop"
"org.junit.internal.runners.ErrorReportingRunner:run","org.junit.runner.notification.RunNotifier:fireTestFailure"
"org.junit.runner.Request:method","org.junit.runner.Request:filterWith"
"junit.textui.TestRunner:pause","junit.textui.ResultPrinter:printWaitPrompt"
"junit.framework.JUnit4TestAdapterCache:createTest","junit.framework.TestSuite:addTest"
"junit.textui.ResultPrinter:printErrors","junit.framework.TestResult:errors"
"junit.framework.JUnit4TestCaseFacade:toString","junit.framework.JUnit4TestCaseFacade:getDescription"
"org.junit.internal.requests.FilterRequest:getRunner","org.junit.runner.Request:getRunner"
"junit.framework.TestFailure:isFailure","junit.framework.TestFailure:thrownException"
"junit.framework.TestResult:runProtected","junit.framework.TestResult:addError"
"junit.framework.TestSuite:addTestMethod","junit.framework.TestSuite:addTest"
