[126, 332]:1
[312, 21]:2
[48, 332]:1
[373, 271]:1
[244, 201]:4
[527, 528]:1
[122, 506]:1
[198, 304]:2
[82, 21]:2
[229, 369]:3
[22, 178]:6
[42, 102]:3
[46, 47]:1
[280, 209]:2
[240, 92]:1
[184, 386]:1
[449, 146]:2
[22, 250]:4
[73, 47]:2
[22, 286]:7
[123, 202]:1
[2, 135]:2
[48, 367]:1
[353, 295]:2
[461, 462]:1
[414, 9]:4
[458, 144]:1
[497, 498]:1
[312, 107]:2
[305, 98]:1
[85, 252]:2
[405, 406]:1
[136, 76]:1
[36, 17]:1
[440, 51]:1
[211, 271]:3
[73, 46]:1
[64, 65]:1
[414, 267]:3
[309, 366]:3
[18, 436]:1
[326, 183]:1
[414, 8]:3
[501, 380]:3
[312, 106]:1
[194, 195]:1
[242, 243]:1
[365, 59]:1
[211, 59]:2
[138, 356]:2
[244, 170]:8
[235, 128]:1
[298, 203]:1
[102, 103]:1
[94, 177]:3
[178, 61]:1
[57, 147]:1
[197, 107]:1
[190, 90]:2
[225, 40]:3
[16, 508]:1
[1, 15]:2
[194, 223]:1
[74, 13]:1
[198, 229]:1
[465, 466]:1
[16, 443]:1
[71, 72]:1
[81, 172]:2
[184, 21]:2
[417, 330]:1
[360, 191]:2
[10, 11]:1
[235, 127]:1
[42, 135]:4
[94, 176]:2
[492, 295]:5
[55, 356]:2
[309, 220]:3
[1, 183]:2
[8, 282]:1
[289, 456]:1
[28, 418]:1
[312, 89]:1
[1, 14]:1
[308, 523]:1
[267, 61]:1
[162, 163]:1
[313, 21]:1
[345, 163]:1
[151, 230]:1
[38, 380]:1
[165, 61]:4
[217, 98]:2
[211, 21]:3
[120, 185]:1
[8, 310]:1
[56, 57]:1
[370, 13]:1
[326, 137]:1
[106, 107]:1
[289, 25]:2
[125, 11]:1
[308, 241]:1
[157, 271]:1
[22, 282]:4
[484, 302]:1
[459, 15]:1
[186, 345]:1
[22, 47]:4
[74, 135]:2
[529, 530]:1
[227, 90]:1
[179, 180]:1
[279, 90]:1
[165, 60]:6
[28, 135]:2
[460, 5]:1
[22, 310]:4
[422, 13]:1
[181, 252]:1
[289, 24]:1
[375, 322]:2
[171, 333]:2
[108, 221]:2
[16, 195]:1
[22, 281]:3
[265, 473]:3
[265, 43]:2
[22, 46]:3
[293, 208]:2
[22, 201]:4
[166, 304]:4
[244, 267]:3
[501, 224]:3
[398, 353]:2
[145, 315]:1
[303, 183]:1
[156, 183]:1
[227, 183]:2
[399, 338]:1
[217, 264]:1
[238, 426]:1
[501, 332]:3
[71, 206]:2
[229, 61]:1
[37, 356]:2
[171, 5]:1
[450, 451]:1
[381, 241]:1
[200, 354]:1
[265, 42]:1
[81, 82]:1
[48, 49]:1
[503, 403]:2
[200, 101]:2
[407, 443]:1
[310, 282]:1
[198, 369]:4
[304, 369]:2
[501, 367]:3
[229, 60]:2
[166, 382]:3
[64, 15]:3
[392, 129]:1
[291, 5]:1
[139, 61]:1
[68, 103]:3
[66, 67]:1
[22, 170]:8
[16, 257]:1
[127, 128]:1
[176, 177]:1
[166, 61]:3
[408, 239]:1
[273, 274]:1
[0, 41]:2
[79, 80]:1
[294, 13]:1
[228, 11]:1
[303, 137]:1
[172, 315]:1
[312, 388]:1
[166, 229]:3
[20, 271]:1
[501, 113]:3
[394, 135]:2
[217, 218]:1
[411, 412]:1
[65, 161]:2
[248, 234]:1
[64, 14]:2
[64, 183]:3
[2, 13]:1
[309, 178]:7
[68, 102]:2
[120, 389]:1
[166, 60]:5
[309, 250]:5
[309, 286]:8
[423, 402]:2
[18, 320]:1
[276, 402]:2
[186, 59]:2
[375, 101]:3
[449, 17]:2
[378, 21]:2
[455, 21]:1
[12, 13]:1
[122, 21]:3
[16, 147]:2
[166, 300]:1
[55, 241]:2
[432, 371]:2
[492, 353]:3
[526, 150]:1
[82, 359]:1
[277, 278]:1
[331, 224]:1
[165, 47]:4
[417, 59]:2
[232, 496]:1
[229, 178]:2
[449, 16]:1
[38, 113]:1
[138, 275]:1
[58, 59]:1
[229, 286]:3
[211, 254]:1
[166, 198]:2
[16, 146]:1
[86, 357]:1
[0, 1]:1
[48, 349]:1
[265, 395]:4
[50, 45]:1
[62, 311]:1
[85, 487]:3
[81, 156]:2
[55, 38]:1
[165, 46]:3
[42, 444]:2
[75, 315]:1
[296, 98]:2
[115, 495]:1
[148, 330]:1
[22, 267]:3
[112, 113]:1
[270, 206]:2
[68, 135]:3
[148, 59]:2
[148, 149]:1
[211, 361]:2
[6, 7]:1
[65, 15]:2
[81, 33]:2
[512, 158]:1
[42, 335]:1
[122, 313]:2
[89, 90]:1
[293, 129]:3
[124, 103]:2
[238, 21]:2
[64, 90]:2
[202, 203]:1
[244, 61]:4
[238, 203]:1
[1, 41]:1
[238, 239]:1
[370, 150]:1
[504, 101]:2
[211, 252]:2
[503, 433]:3
[270, 13]:3
[219, 69]:1
[166, 369]:6
[211, 84]:3
[335, 444]:1
[165, 304]:5
[81, 32]:1
[65, 14]:1
[41, 183]:1
[186, 264]:1
[78, 161]:2
[122, 312]:1
[238, 455]:1
[99, 323]:1
[309, 282]:2
[77, 183]:3
[83, 84]:1
[124, 102]:1
[398, 338]:2
[187, 249]:1
[244, 60]:6
[130, 15]:1
[77, 15]:3
[115, 493]:1
[125, 224]:2
[264, 59]:1
[0, 187]:1
[501, 49]:3
[122, 89]:2
[122, 203]:3
[427, 295]:1
[211, 83]:2
[94, 230]:2
[165, 166]:1
[125, 332]:2
[309, 310]:1
[138, 380]:2
[213, 214]:1
[262, 263]:1
[200, 57]:3
[280, 231]:1
[309, 281]:4
