[196, 132]
[89, 21]
[44, 45]
[4, 5]
[16, 443]
[347, 348]
[303, 137]
[326, 183]
[14, 239]
[14, 203]
[472, 134]
[229, 304]
[231, 209]
[318, 142, 21]
[407, 443]
[427, 295]
[136, 137]
[270, 150]
[312, 388]
[136, 210]
[262, 263]
[34, 35]
[82, 279]
[277, 428]
[24, 25]
[172, 90]
[289, 456]
[200, 354]
[228, 11]
[294, 13]
[181, 327]
