"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:runCount"
"junit.swingui.TestTreeModel:fireNodeChanged","junit.swingui.TestTreeModel:getChild"
"junit.swingui.TestRunner:rerunTest","junit.framework.TestResult:wasSuccessful"
"junit.swingui.TestRunner:start","junit.swingui.TestRunner:processArguments"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createStatusLine"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:failureCount"
"junit.textui.TestRunner:doRun","junit.textui.TestRunner:pause"
"junit.swingui.TestRunner:browseTestClasses","junit.swingui.TestSelector:getSelectedItem"
"junit.textui.ResultPrinter:printDefectTrace","junit.textui.ResultPrinter:getWriter"
"junit.runner.LoadingTestCollector:isTestClass","junit.runner.LoadingTestCollector:hasPublicConstructor"
"junit.textui.TestRunner:start","junit.textui.TestRunner:runSingleMethod"
"junit.awtui.TestRunner:createUI","junit.awtui.TestRunner:createMenus"
"junit.swingui.TestRunner:rerunTest","junit.framework.TestCase:getName"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createRunButton"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:loadSuiteClass"
"junit.swingui.StatusLine:clear","junit.swingui.StatusLine:setText"
"junit.swingui.TestRunner:showFailureDetail","junit.swingui.TestRunner:getFailures"
"junit.swingui.MacProgressBar:updateBarColor","junit.swingui.MacProgressBar:getStatusColor"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createFailureDetailView"
"junit.awtui.TestRunner:start","junit.awtui.TestRunner:setSuiteName"
"junit.textui.ResultPrinter:printDefectHeader","junit.textui.ResultPrinter:getWriter"
"junit.runner.LoadingTestCollector:isTestClass","junit.runner.LoadingTestCollector:classFromFile"
"junit.awtui.ProgressBar:paint","junit.awtui.ProgressBar:paintStatus"
"junit.swingui.StatusLine:showInfo","junit.swingui.StatusLine:setFont"
"junit.runner.TestCaseClassLoader:loadClass","junit.runner.TestCaseClassLoader:resolveClass"
"junit.swingui.TestRunner:doRunTest","junit.framework.TestResult:addListener"
"junit.awtui.ProgressBar:reset","junit.awtui.ProgressBar:getGraphics"
"junit.swingui.ProgressBar:updateBarColor","junit.swingui.ProgressBar:setForeground"
"junit.runner.ClassPathTestCollector:collectTests","junit.runner.ClassPathTestCollector:collectFilesInPath"
"junit.swingui.TestRunner:clearStatus","junit.swingui.StatusLine:clear"
"junit.awtui.ProgressBar:paintStatus","junit.awtui.ProgressBar:getBounds"
