[128, 44]
[33, 49]
[132, 133]
[56, 61]
[33, 77]
[51, 100]
[151, 152]
[8, 9]
[43, 138]
[65, 66]
[23, 44]
[123, 37]
[153, 24]
[172, 173]
[45, 11]
[167, 119]
[72, 73]
[62, 24]
[178, 22]
[56, 57]
[54, 55]
[47, 48]
[135, 22]
[98, 20]
[91, 22]
[20, 81]
[2, 52]
[3, 184, 39]
[52, 44]
[105, 106]
[103, 59]
[27, 185]
[122, 19]
[37, 38]
[22, 41]
[43, 84]
[153, 2]
[3, 139]
[78, 79]
[69, 70]
[33, 148]
[103, 104]
[10, 11]
[10, 87]
[16, 30]
[106, 38]
[37, 192]
[108, 60]
[6, 163]
[10, 91]
[136, 74]
[33, 63]
[88, 16]
[27, 28]
[43, 44]
[91, 97]
[124, 150]
[129, 140, 27]
[2, 117]
[18, 79]
[6, 7]
[59, 60]
[83, 48]
[187, 162]
[33, 34]
[69, 3]
[25, 26]
[4, 179]
[69, 83]
[82, 83]
[52, 58]
[52, 168]
[118, 119]
[59, 28]
[10, 64]
[42, 24]
[106, 163]
[0, 1]
[89, 52]
[43, 17]
[181, 44]
[74, 161]
[11, 22]
[18, 120]
[88, 43]
[174, 175]
[132, 165]
[33, 186]
[33, 158]
[107, 115]
[42, 53]
[23, 24]
[171, 17]
[16, 84]
[37, 51]
[83, 147]
[16, 44]
[6, 99]
[188, 189]
[16, 32]
[18, 19]
[51, 86]
[11, 92]
[3, 166]
[12, 13]
[103, 121]
[39, 40]
[62, 39]
[33, 56]
[82, 100]
[23, 53]
[2, 3]
[90, 53]
[119, 70]
[113, 37]
[62, 71]
[52, 88]
[37, 131]
[97, 22]
[20, 21]
[23, 150]
[131, 40]
[51, 3]
[107, 84]
[54, 58]
[60, 80]
[131, 134]
[97, 101]
[4, 112]
[33, 144]
[145, 30]
[93, 94]
[42, 71]
[74, 20]
[50, 51]
[76, 164]
[4, 5]
[183, 94]
[102, 52]
[23, 30]
[6, 195]
[69, 86]
[42, 39]
[38, 86]
[69, 100]
[54, 146]
[109, 44]
[74, 154]
[43, 53]
[129, 130]
[38, 117]
[176, 177]
[178, 19]
[149, 150]
[136, 137]
[169, 170]
[59, 80]
[156, 157]
[85, 75]
[33, 155]
[116, 60]
[182, 152]
[76, 190]
[169, 58]
[106, 69]
[106, 33]
[124, 24]
[160, 69]
[52, 191]
[67, 68]
[91, 92]
[75, 76]
[33, 194]
[62, 53]
[16, 17]
[88, 23]
