"junit.textui.ResultPrinter:printErrors","junit.textui.ResultPrinter:printDefects"
"org.junit.tests.UserStopTest:createNotifier","org.junit.runner.notification.RunNotifier:pleaseStop"
"org.junit.runner.Description:isTest","org.junit.runner.Description:getChildren"
"org.junit.tests.AnnotationTest:testRunAllAftersRegardless","org.junit.runner.Result:getFailureCount"
"org.junit.runner.JUnitCore:runMain","org.junit.runner.JUnitCore:run"
"org.junit.tests.TextListenerTest:testTime","org.junit.runner.JUnitCore:run"
"org.junit.tests.AnnotationTest:testTeardownAfterFailure","org.junit.runner.JUnitCore:run"
"org.junit.internal.runners.TextListener:testRunFinished","org.junit.internal.runners.TextListener:printFailures"
"org.junit.tests.TimeoutTest:timeoutFailure","org.junit.runner.Result:getFailures"
"junit.framework.ComparisonFailure:getMessage","junit.framework.ComparisonCompactor:compact"
"org.junit.internal.runners.BeforeAndAfterRunner:runAfters","org.junit.internal.runners.BeforeAndAfterRunner:addFailure"
"org.junit.tests.AnnotationTest:testTeardownFailure","org.junit.runner.notification.Failure:getException"
"junit.textui.TestRunner:runAndWait","junit.textui.TestRunner:doRun"
"org.junit.tests.ForwardCompatibilityTest:testExpected","junit.framework.TestResult:wasSuccessful"
"org.junit.tests.AnnotationTest:testRunAllAfterClasses","org.junit.runner.JUnitCore:run"
"org.junit.tests.SuiteTest:suiteTestCountIsCorrect","org.junit.runner.Request:getRunner"
"org.junit.tests.ParameterizedTestTest:failuresNamedCorrectly","org.junit.runner.Result:getFailures"
"org.junit.tests.TimeoutTest:failureWithTimeout","org.junit.runner.Result:getFailureCount"
"org.junit.runner.notification.Failure:getTestHeader","org.junit.runner.Description:getDisplayName"
"org.junit.tests.TimeoutTest:failureWithTimeoutRunTimeException","org.junit.runner.Result:getFailureCount"
"org.junit.internal.runners.TestMethodRunner:run","org.junit.runner.notification.RunNotifier:fireTestStarted"
"org.junit.tests.ListenerTest:notifyListenersInTheOrderInWhichTheyAreAdded","org.junit.runner.JUnitCore:addListener"
"org.junit.runner.Runner:testCount","org.junit.runner.Description:testCount"
"org.junit.tests.TimeoutTest:failureWithTimeout","org.junit.runner.Result:getFailures"
"org.junit.runner.notification.RunNotifier:testAborted","org.junit.runner.notification.RunNotifier:fireTestFailure"
"org.junit.tests.ExpectedTest:expected","org.junit.runner.Result:wasSuccessful"
"junit.framework.JUnit4TestAdapterCache:createTest","org.junit.runner.Description:isTest"
"org.junit.tests.SuiteTest:whatHappensWhenASuiteHasACycle","org.junit.runner.Result:getFailureCount"
"org.junit.tests.TestListenerTest:failingListener","org.junit.runner.JUnitCore:run"
"org.junit.tests.AnnotationTest:testRunFailure","org.junit.runner.notification.Failure:getException"
"org.junit.internal.runners.TestClassRunner:validate","org.junit.internal.runners.MethodValidator:validateMethodsForDefaultRunner"
"org.junit.internal.runners.TestClassMethodsRunner:getDescription","org.junit.runner.Description:addChild"
"org.junit.tests.AnnotationTest:testException","org.junit.runner.JUnitCore:run"
"org.junit.tests.ParameterizedTestTest:meaningfulFailureWhenParametersNotPublic","org.junit.runner.Result:getFailures"
"junit.framework.TestFailure:trace","junit.framework.TestFailure:thrownException"
"junit.textui.ResultPrinter:printDefects","junit.textui.ResultPrinter:printDefect"
"org.junit.tests.ParameterizedTestTest:plansNamedCorrectly","org.junit.runner.Request:getRunner"
"org.junit.tests.SuiteTest:ensureTestIsRun","org.junit.runner.JUnitCore:run"
"org.junit.tests.SuiteTest:suiteShouldBeOKwithNonDefaultConstructor","org.junit.runner.Result:wasSuccessful"
"junit.framework.TestResult:run","junit.framework.TestResult:startTest"
"junit.framework.TestResult:wasSuccessful","junit.framework.TestResult:failureCount"
"org.junit.tests.ParameterizedTestMethodTest:validateAllMethods","org.junit.internal.runners.InitializationError:getCauses"
"org.junit.tests.SingleMethodTest:oneTimeSetup","org.junit.runner.Request:getRunner"
"org.junit.tests.AnnotationTest:testTestAndTeardownFailure","org.junit.runner.Result:getRunCount"
"org.junit.internal.requests.IgnoredClassRunner:run","org.junit.internal.requests.IgnoredClassRunner:getDescription"
"org.junit.runners.Parameterized:validate","org.junit.internal.runners.MethodValidator:validateStaticMethods"
"org.junit.tests.OldTestClassAdaptingListenerTest:addFailureDelegatesToNotifier","org.junit.runner.Result:createListener"
"junit.framework.TestSuite:createTest","junit.framework.TestCase:setName"
"junit.runner.BaseTestRunner:addFailure","junit.runner.BaseTestRunner:testFailed"
"org.junit.tests.OldTestClassRunnerTest:canUnadaptAnAdapter","org.junit.runner.notification.Failure:getDescription"
"org.junit.tests.ForwardCompatibilityTest:testNotifyResult","junit.framework.TestResult:addListener"
"org.junit.tests.TimeoutTest:failureWithTimeout","org.junit.runner.JUnitCore:run"
"junit.textui.ResultPrinter:printDefectHeader","junit.framework.TestFailure:failedTest"
"org.junit.internal.requests.ClassRequest:getRunnerClass","org.junit.internal.requests.ClassRequest:hasSuiteMethod"
"junit.textui.ResultPrinter:startTest","junit.textui.ResultPrinter:getWriter"
"org.junit.tests.ForwardCompatibilityTest:testException","junit.framework.TestResult:errors"
"org.junit.internal.runners.TextListener:printFailure","org.junit.internal.runners.TextListener:printFailureTrace"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printFooter"
"org.junit.tests.TestListenerTest:removeFailingListeners","org.junit.runner.JUnitCore:run"
"org.junit.internal.runners.TestClassMethodsRunner:filter","org.junit.runner.manipulation.Filter:shouldRun"
"junit.textui.TestRunner:runSingleMethod","junit.textui.TestRunner:loadSuiteClass"
"org.junit.internal.runners.TestClassRunner:run","org.junit.internal.runners.TestClassRunner:getTestClass"
"org.junit.tests.AnnotationTest:testTeardownFailure","org.junit.runner.JUnitCore:run"
"org.junit.tests.ForwardCompatibilityPrintingTest:testErrorAdapted","junit.textui.TestRunner:setPrinter"
"org.junit.tests.ParameterizedTestTest:meaningfulFailureWhenParameterListsAreNotArrays","org.junit.runner.Result:getFailures"
"org.junit.runner.Description:testCount","org.junit.runner.Description:getChildren"
"org.junit.tests.AnnotationTest:testSetupFailure","org.junit.runner.notification.Failure:getException"
"org.junit.tests.ExpectedTest:noneThrown","org.junit.runner.notification.Failure:getMessage"
"org.junit.tests.TimeoutTest:successWithTimeout","org.junit.runner.Result:getFailureCount"
"org.junit.tests.ForwardCompatibilityTest:testInvalidMethod","junit.framework.TestResult:errors"
"org.junit.samples.money.MoneyTest:testBagNotEquals","junit.samples.money.Money:add"
"org.junit.tests.SuiteTest:suiteTestCountIsCorrect","org.junit.runner.Runner:testCount"
"org.junit.runner.JUnitCore:run","org.junit.runner.Runner:run"
"junit.textui.TestRunner:start","junit.textui.TestRunner:runSingleMethod"
"org.junit.tests.ExpectedTest:unexpected","org.junit.runner.notification.Failure:getException"
"org.junit.tests.CommandLineTest:runATest","org.junit.runner.JUnitCore:runMain"
"org.junit.internal.runners.MethodValidator:validateMethodsForDefaultRunner","org.junit.internal.runners.MethodValidator:validateInstanceMethods"
"org.junit.tests.TimeoutTest:failureWithTimeoutRunTimeException","org.junit.runner.notification.Failure:getException"
